index,geometry,road_distance
645,POINT (121.4335055448573 15.60236672351249),
646,POINT (121.4335055448573 15.6124510074918),
648,POINT (121.4335055448573 15.63261957545043),
649,POINT (121.4335055448573 15.64270385942974),
650,POINT (121.4335055448573 15.65278814340906),
651,POINT (121.4335055448573 15.66287242738837),
652,POINT (121.4335055448573 15.67295671136768),
653,POINT (121.4335055448573 15.683040995347),
654,POINT (121.4335055448573 15.69312527932631),
655,POINT (121.4335055448573 15.70320956330563),
657,POINT (121.4335055448573 15.72337813126425),
658,POINT (121.4335055448573 15.73346241524357),
663,POINT (121.4335055448573 15.78388383514014),
664,POINT (121.4335055448573 15.79396811911945),
666,POINT (121.4335055448573 15.81413668707808),
667,POINT (121.4335055448573 15.82422097105739),
671,POINT (121.4335055448573 15.86455810697465),
672,POINT (121.4335055448573 15.87464239095396),
673,POINT (121.4335055448573 15.88472667493328),
674,POINT (121.4436243796837 15.39059675994689),
675,POINT (121.4436243796837 15.40068104392621),
676,POINT (121.4436243796837 15.41076532790552),
677,POINT (121.4436243796837 15.42084961188483),
678,POINT (121.4436243796837 15.43093389586415),
679,POINT (121.4436243796837 15.44101817984346),
680,POINT (121.4436243796837 15.45110246382278),
681,POINT (121.4436243796837 15.46118674780209),
682,POINT (121.4436243796837 15.4712710317814),
683,POINT (121.4436243796837 15.48135531576072),
684,POINT (121.4436243796837 15.49143959974003),
685,POINT (121.4436243796837 15.50152388371935),
686,POINT (121.4436243796837 15.51160816769866),
687,POINT (121.4436243796837 15.52169245167797),
688,POINT (121.4436243796837 15.53177673565729),
689,POINT (121.4436243796837 15.5418610196366),
690,POINT (121.4436243796837 15.55194530361592),
